Businesses	Source
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi32.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi34.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi36.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi40.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi41.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi42.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi46.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi47.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi48.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi52.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi53.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi56.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi57.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi59.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi63.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi64.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi65.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi66.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi67.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi68.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi70.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi72.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi74.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi75.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi76.png
Taxi	C:\Users\Thom\Documents\sixth form\Computer science\Thom Johnson NEA\NEA\C#\UI\Business_Types\Taxi\Taxi77.png
